symbol,mean_volume,outstanding_shares
PNJ,733363.8795180722,341.1
ITC,729159.0361445784,95.9
TLH,721468.6746987952,112.3
LMH,717870.5882352941,25.6
TVN,716489.156626506,678.0
DPR,715622.9277108434,86.9
EVS,714477.108433735,164.8
NAG,712192.7951807228,38.6
KVC,703319.2771084338,49.5
JVC,702740.9638554216,112.5
MBG,701463.8554216868,120.2
VIG,700573.4939759036,45.1
TTA,697303.6144578314,170.1
AAV,692550.6024096386,69.0
GKM,691587.1428571428,31.4
PPC,687919.2771084338,320.6
KLB,686189.7108433734,578.4
HSL,679030.1204819278,38.6
TVC,677196.3855421686,110.6
NAF,669929.1204819278,61.2
VC2,666793.9759036144,68.8
DRC,665902.2530120482,154.4
TDH,659357.8313253012,112.7
BFC,655096.3855421686,57.2
VEA,645644.578313253,1328.8
VGI,642298.626506024,3043.8
PAC,615098.2891566266,69.7
DCL,613156.626506024,73.0
SMC,612536.1445783132,73.6
BVH,611321.686746988,742.3
TNI,609868.6746987952,52.5
FRT,603498.2409638554,170.3
C69,602842.1686746988,61.8
PLC,582379.5180722892,80.8
PSI,579766.265060241,59.8
IVS,577911.6987951808,104.9
SIP,572259.7710843374,242.1
CTR,568524.9397590362,114.4
PXL,565512.048192771,176.0
TV2,559648.1927710844,67.5
DVM,535822.6385542168,47.1
VTO,522192.7710843373,79.9
FIR,516260.9518072289,70.7
BMI,513322.2530120482,150.5
LSS,506468.6746987952,85.7
BMS,498939.7590361446,78.9
SGR,492387.9518072289,69.9
VNE,490995.1807228916,82.1
CDC,484541.7590361446,52.8
CVN,484282.35294117645,29.7
MHC,480921.686746988,43.5
SRA,480600.0,43.2
APH,479071.0843373494,243.9
PHR,478896.9397590361,135.5
DVG,477252.9411764706,28.0
BCM,473113.2530120482,1035.0
DAH,469120.4819277108,84.2
HTP,468517.64705882355,91.8
CCL,461980.7228915663,59.6
DCS,459147.0588235294,60.3
L14,450032.5301204819,30.9
DDG,446606.0240963855,79.8
ABW,442638.5542168675,101.2
KDC,421845.7831325301,289.8
DHC,419957.2771084337,96.6
MCH,399599.9036144578,1056.7
QTP,398827.2289156627,450.0
TCO,396583.1325301205,31.3
MIG,392621.1325301205,211.5
CMX,381645.7831325301,101.9
SHI,381402.3855421687,169.9
MSH,380219.2771084337,112.5
S99,376374.0963855422,104.1
CTF,375233.0963855422,95.7
SCS,374400.843373494,94.9
DGT,373512.0481927711,79.0
DIC,369382.35294117645,26.1
CEN,369376.4705882353,21.7
ABS,368107.2289156627,80.0
TTH,367157.8313253012,37.4
PVL,367041.17647058825,50.0
LTG,362411.76470588235,100.7
ST8,359308.4337349398,25.7
SVN,355556.6265060241,21.0
LGL,352614.4578313253,51.5
TLD,349850.6024096386,77.7
TVS,348728.7228915663,200.4
KOS,343807.2289156627,216.5
PFL,337979.5180722892,50.0
HNM,336588.9397590361,44.4
LCM,332300.0,24.6
NTP,329718.8313253012,171.0
VIP,327673.4939759036,68.5
TNH,326317.1445783133,165.8
FTM,319947.0588235294,50.0
TAR,318905.8823529412,78.3
DXP,314611.0843373494,59.9
NBB,309208.4337349398,100.2
ITQ,301021.686746988,31.8
PV2,300896.3855421687,36.9
VHE,296901.2048192771,33.1
HID,294750.6024096386,76.8
SKG,283716.8674698795,66.5
VTD,282051.8072289157,24.0
MML,275359.0361445783,340.3
HHG,274467.4698795181,34.9
DSC,270616.6024096386,275.0
PXS,267594.1176470588,60.0
HVH,259420.48192771085,43.5
MCG,259224.09638554216,52.1
SDA,258817.64705882352,26.2
BCC,246478.31325301205,123.2
TNT,244455.421686747,51.0
VPH,242061.44578313254,95.4
AGM,241970.58823529413,18.2
TLG,240760.2409638554,87.8
CKG,236528.9156626506,161.8
MPC,235901.2048192771,401.1
LHG,235791.7951807229,50.0
HHP,232439.7590361446,86.6
CIG,225726.5060240964,51.0
BKG,224557.8313253012,71.6
ATG,221623.5294117647,15.2
NHH,221125.3012048193,113.0
PHC,219138.55421686746,50.7
ADS,217112.0481927711,76.4
BIC,214729.6987951807,202.1
PPT,213295.18072289156,19.6
RYG,211031.3253012048,45.0
PHP,206765.80722891566,327.0
BNA,206112.0481927711,31.2
LSG,203120.48192771085,90.0
PTL,202493.97590361445,100.0
VST,200423.5294117647,69.0
CTX,199273.4939759036,78.9
NO1,198201.2048192771,24.0
TVB,197681.92771084336,112.1
PAS,197290.24390243902,28.0
VLC,196037.34939759035,212.5
C47,195975.90361445784,36.3
BWE,195290.36144578314,219.9
AVG,191877.10843373495,17.7
TTN,191787.9518072289,36.7
PSD,191219.27710843374,51.8
PVP,186873.4939759036,103.7
TL4,186431.25,15.3
TIP,183142.96341463414,65.0
VCS,180949.39759036145,160.0
GDA,177163.09638554216,149.1
SBG,172840.9638554217,50.0
QNS,171677.34939759035,367.6
HSV,168885.5421686747,15.7
SGP,167104.81927710844,216.3
HKB,165282.35294117648,51.6
TEG,164675.90361445784,120.8
HTI,163316.8674698795,24.9
HAP,162516.8674698795,110.9
TDP,160356.0975609756,88.2
VKC,160288.23529411765,19.3
FCM,159548.19277108434,46.2
PXI,157994.11764705883,30.0
SJD,156997.93975903615,69.0
TRC,156394.68674698795,30.0
KSQ,153052.43902439025,30.0
BCE,150296.34146341463,35.0
HBS,147552.85714285713,33.0
PTB,146721.26506024096,66.9
L40,146480.72289156626,10.8
PGN,146093.97590361445,9.5
AMS,145120.73170731709,60.0
BMP,142724.09638554216,81.9
CLX,141789.31325301205,86.6
MVC,140172.7831325301,100.0
CMS,139912.0481927711,25.5
PVB,139171.0843373494,21.6
VBB,137681.26506024096,821.0
FOX,135603.61445783134,738.8
D2D,133815.6626506024,30.3
PVV,133582.35294117648,30.0
HII,131890.36144578314,73.7
GGG,127100.0,29.4
PCH,126779.1204819277,25.4
DHA,124696.69879518072,14.7
VNB,124250.60240963855,67.9
MPT,123247.05882352941,17.1
HVA,122683.13253012048,13.7
VNH,122629.41176470589,8.0
IMP,121026.50602409638,154.0
PLP,116506.02409638555,70.0
ATA,111047.05882352941,12.0
DST,110578.31325301205,32.2
G20,109962.5,14.4
FMC,109920.48192771085,65.4
PIV,107536.58536585367,17.3
BMC,107452.40963855422,12.4
CTP,106859.03614457832,12.1
GSP,105069.93975903615,67.5
AAT,104607.22891566265,70.8
NED,103869.8795180723,40.5
AFX,103742.1686746988,35.0
DTI,102953.01204819277,13.5
ICT,100920.48192771085,32.2
PXT,100782.35294117648,20.0
SJE,100712.68674698795,40.0
MEC,96112.5,8.4
GPC,95469.8795180723,54.1
NSH,94603.61445783133,20.7
WSS,94218.07228915663,50.3
TDG,93933.73493975903,24.2
SJS,93708.19277108433,297.5
CT3,93700.0,8.8
SDD,91635.29411764706,16.0
SCI,90468.67469879518,30.5
NBC,90095.7469879518,37.0
HCD,88854.87804878049,37.0
LDP,88810.9756097561,13.3
DBD,87316.51807228915,94.5
SHN,82453.01204819277,129.6
ABI,79853.30120481928,101.3
BIG,79183.75903614458,16.0
HLD,78432.9268292683,55.0
EVE,78037.34939759035,42.0
SVD,78009.63855421687,27.6
PVG,77726.50602409638,40.0
HU4,75948.19277108433,15.0
VTR,75757.65060240965,57.3
ALV,75512.07228915663,9.6
PGB,75095.69879518072,1000.0
MFS,72903.61445783133,7.1
TD6,72689.34939759035,61.9
L18,72177.10843373495,45.7
VLB,71460.90361445783,46.7
DVN,71359.4578313253,237.0
ASP,71116.86746987952,37.3
KCB,70571.84337349398,8.0
VVS,70376.0,21.5
VTV,70267.46987951807,31.2
PCG,70206.25,18.9
PSB,70100.0,50.0
SGT,69879.51807228915,148.0
CDO,69482.35294117648,31.5
PVR,69041.17647058824,51.9
HOM,68277.77777777778,72.0
KHP,67289.15662650602,60.4
CSC,66696.36144578313,41.1
VE9,66203.70370370371,12.0
THG,65083.132530120485,31.1
VRC,64742.68292682927,50.0
CNG,64702.409638554214,35.1
LIX,64532.530120481926,64.8
ABC,63875.60975609756,20.4
PTC,63036.14457831325,32.2
PVE,62752.94117647059,25.0
OCH,62627.7108433735,200.0
TDT,62275.134146341465,23.9
BKC,61333.96385542169,23.5
STH,58453.01204819277,19.5
BVG,57105.882352941175,9.8
DTA,55437.5,18.1
SDT,55403.65853658537,42.7
VCP,54657.8313253012,83.8
RIC,54177.10843373494,70.4
CET,53571.875,6.1
NNC,52435.469879518074,21.9
DDB,51667.469879518074,12.0
XMC,51567.469879518074,71.4
STK,51440.96385542169,96.6
ITD,50952.78048780488,26.2
BDT,50896.34146341463,38.6
HD6,50887.951807228914,15.1
TV1,50789.156626506025,26.7
PSW,50191.9156626506,17.0
VPC,50100.0,5.6
ILA,49789.156626506025,19.6
LAI,49067.743902439026,27.4
GDT,48492.68292682927,24.7
TCL,47606.02409638554,30.2
HSI,47088.23529411765,9.9
HUB,46898.15853658537,30.2
LCS,46741.17647058824,7.6
VRG,46681.72289156626,25.9
PBC,46274.19512195122,116.7
CST,46112.19512195122,42.8
HDA,46062.19512195122,27.6
LHC,46030.12048192771,14.4
CHP,45972.57831325301,146.9
NCG,45616.867469879515,119.8
PXA,45429.41176470588,15.0
HVT,45195.12195121951,27.5
BTS,44795.12195121951,123.6
ECO,44701.20481927711,20.0
ACL,44480.48780487805,50.2
VMS,43625.0,9.0
PXM,43311.76470588235,15.0
MCM,43310.843373493975,110.0
BLF,43213.63636363636,11.5
VNP,43132.530120481926,19.4
CLL,42923.14457831325,34.0
VEC,42778.31325301205,43.8
MTA,42007.22891566265,110.1
TA9,41723.54878048781,12.4
SGB,41489.156626506025,338.8
TRV,40904.819277108436,130.4
ONW,40900.0,2.0
UDC,40543.3734939759,34.7
PVI,39351.50602409639,234.2
KSV,39075.361445783135,200.0
TIS,38931.32530120482,184.0
FCS,38644.186046511626,29.5
PVH,38429.41176470588,21.0
KMR,38406.02409638554,56.9
CCC,38040.96385542169,40.3
SRB,37595.06172839506,8.5
APP,36608.53658536585,4.7
VFG,36552.80722891566,41.7
BTP,36497.560975609755,60.5
LBM,36042.68292682927,40.0
SAS,35285.56626506024,133.5
VCA,35036.14457831325,15.2
TVD,34109.756097560974,45.0
DHM,33918.072289156626,34.5
PDV,32828.134146341465,66.1
VPS,32102.439024390245,24.5
HTG,32089.156626506025,36.0
VNS,32034.939759036144,67.9
ANT,31786.746987951807,24.0
PGV,31686.746987951807,1123.5
HVX,31473.493975903613,41.5
DCT,31400.0,27.2
EIN,31187.5,45.4
SAV,30291.13924050633,26.0
SHA,30272.698795180724,35.1
PGC,30189.722891566264,60.3
ACC,29350.617283950618,105.0
TSA,28950.0,40.4
PAT,28940.963855421687,25.0
SVT,28753.39024390244,17.3
ICN,28639.734939759037,30.6
KSF,28481.927710843374,899.8
SD6,28347.058823529413,34.8
TN1,28132.566265060243,60.1
MGC,27984.33734939759,10.8
C92,27776.829268292684,5.3
TOS,27652.795180722893,45.0
PVY,27494.117647058825,59.5
IDV,27017.073170731706,41.2
SCG,26701.204819277107,85.0
TDS,26437.349397590362,12.2
TNS,26411.764705882353,20.0
BAB,26402.70731707317,1003.2
DTL,26221.951219512193,60.6
MCO,26164.634146341465,4.1
LUT,26073.333333333332,15.0
TMT,26004.819277108432,36.9
SCL,25998.939759036144,30.4
PVO,25934.0843373494,8.9
SGN,25739.75903614458,33.5
KHS,25577.10843373494,13.9
CAP,25566.265060240963,15.3
GHC,25360.156626506025,47.7
VLF,25100.0,12.0
VGR,24931.847222222223,82.2
THT,24790.123456790123,24.6
HND,24709.048192771083,500.0
PSP,23978.11267605634,40.0
HMR,23869.87951807229,5.6
BTH,23836.14457831325,25.0
VNR,23613.85542168675,200.6
HLC,23562.025316455696,25.4
HWS,23280.31325301205,87.4
PPH,22960.24096385542,74.7
CSI,22596.385542168675,16.8
DID,22515.189873417723,15.6
NBP,22513.043478260868,12.9
SMB,22435.743902439026,29.8
LTC,22305.882352941175,4.6
VEF,22204.67469879518,166.6
DQC,21852.439024390245,27.6
TYA,21786.98795180723,30.7
MLS,21550.0,4.0
VMD,21230.0,15.4
DS3,21229.87012987013,10.7
UDJ,21213.397590361445,16.5
JOS,21194.117647058825,15.0
BVL,21115.182926829268,89.4
SBA,20976.829268292684,60.5
VC9,20841.975308641977,16.7
UCT,20700.0,5.3
ECI,20461.53846153846,1.8
SCJ,20141.02564102564,57.8
THD,20016.86746987952,385.0
VSH,19721.78313253012,236.2
ICG,19696.153846153848,17.6
CKA,19639.55421686747,3.3
FOC,19568.67469879518,18.4
ODE,19540.963855421687,10.0
VOC,19400.0,121.8
GSM,19185.51851851852,28.6
LM3,19171.428571428572,5.2
MDC,19019.64197530864,21.4
VSE,18905.0,8.9
ADG,18691.35802469136,21.4
VNF,18432.926829268294,31.7
TV3,18327.117647058825,9.5
TST,18086.666666666668,4.8
RCL,17968.08108108108,14.1
VCR,17967.647058823528,210.0
GMC,17888.235294117647,33.0
MIC,17700.134146341465,8.5
SJM,17478.43137254902,5.0
BLI,17429.87012987013,60.0
HU3,17378.87323943662,10.0
AST,17291.78313253012,45.0
VTA,17291.780821917808,8.0
DNL,17233.333333333332,4.3
TEL,17037.14285714286,5.0
ACG,17021.68674698795,150.8
HIO,16937.037037037036,21.0
SD9,16890.0,34.2
DXV,16777.5,9.9
HMC,16760.493827160495,27.3
DVP,16698.12048192771,40.0
CAD,16670.58823529412,20.8
SWC,16539.16049382716,67.1
TID,16514.234567901236,200.0
DP3,16495.121951219513,21.5
PMB,16487.076923076922,12.0
MNB,16389.953125,20.0
SSH,16285.507246376812,375.0
TS3,16140.90909090909,3.9
VID,16099.3875,40.8
LIC,15923.170731707318,90.0
CQN,15901.204819277109,75.0
CDR,15816.89156626506,2.1
DHG,15768.674698795181,130.7
HTV,15707.28205128205,13.1
XPH,15657.831325301206,13.0
TCT,15601.048192771084,12.8
CDN,15520.240963855422,99.0
MCP,15505.89156626506,19.9
NOS,15411.764705882353,19.5
ITS,15379.609756097561,26.5
YBM,15282.051282051281,14.3
SD5,15277.777777777777,26.0
SBD,15268.421052631578,13.9
ADP,15131.69512195122,23.0
PTV,15086.41975308642,20.0
VMG,15062.5,9.6
AIG,15043.75,170.6
TPC,15022.857142857143,22.5
PRT,15015.58024691358,300.0
VE1,14803.703703703704,5.9
VDP,14725.675675675675,22.1
HCC,14645.373493975903,6.5
TAB,14634.782608695652,6.5
VGP,14559.036144578313,7.8
HTT,14552.941176470587,20.0
DNA,14469.333333333334,56.3
SZB,14374.346153846154,30.0
PDB,14342.168674698794,8.9
ABT,14316.867469879518,11.8
VNL,14273.759036144578,14.1
PVM,14252.5,38.6
CAT,14125.518518518518,9.2
SED,14068.75,9.3
GCB,14065.116279069767,4.0
RAL,13771.963855421687,23.5
MCF,13727.631578947368,10.8
DHT,13594.698795180722,90.6
VSF,13568.674698795181,500.0
VPD,13554.216867469879,106.6
PGD,13496.012345679012,99.0
SBB,13386.842105263158,87.5
SDP,13282.35294117647,11.1
C32,13261.25,15.0
VLG,13206.277108433735,14.2
PWA,13160.0,10.0
NS2,13135.780487804877,56.8
VCC,13070.886075949367,24.0
BSH,12994.736842105263,18.0
SZL,12933.0625,27.3
BRC,12867.397590361446,12.4
NXT,12851.28205128205,6.6
FIC,12817.283950617284,127.0
SGS,12766.666666666666,14.4
PRE,12641.525,104.4
PCF,12612.658227848102,3.0
BCA,12530.12048192771,50.0
KDM,12462.19512195122,7.6
NCT,12222.89156626506,26.2
HU6,11866.101694915254,7.5
PBP,11848.927710843374,4.8
TOT,11764.16,9.2
CIP,11591.176470588236,4.5
CMI,11576.470588235294,16.0
APF,11547.30487804878,32.7
VMC,11533.333333333334,26.1
TCW,11491.463414634147,20.0
DIH,11472.216867469879,6.9
THM,11423.076923076924,12.2
DAT,11373.333333333334,69.2
TTC,11350.632911392406,5.9
HTE,11309.756097560976,22.6
SMT,11280.671052631578,6.6
BQB,11190.54054054054,5.8
SD3,11130.76923076923,16.0
VTB,11127.0,10.8
CAR,11075.0,5.6
ONE,11072.839506172839,7.9
DHB,11070.731707317073,272.2
CNT,11069.135802469136,65.4
TTG,11067.5,3.4
PSE,10994.444444444445,12.5
SRF,10979.268292682927,33.8
BRR,10856.661971830987,112.5
PTM,10844.117647058823,32.0
UNI,10841.538461538461,42.6
SVC,10827.375,93.3
ICF,10726.315789473685,12.8
CIA,10628.915662650603,18.7
PGI,10589.61038961039,110.9
CC1,10577.631578947368,397.9
SSG,10265.853658536585,5.0
SHG,10082.35294117647,27.0
HPD,9936.25,8.3
NFC,9892.753623188406,15.7
KGM,9872.289156626506,25.4
PCE,9846.20987654321,10.0
TLI,9829.23076923077,3.0
POS,9825.93670886076,46.0
TIN,9794.666666666666,91.2
BTB,9767.213114754099,7.7
DSN,9582.926829268292,12.1
TXM,9522.077922077922,7.0
TDM,9517.721518987342,111.1
VNG,9401.26582278481,97.3
DBT,9347.7,22.0
NDX,9339.70588235294,9.6
PJT,9292.356164383562,24.9
BGW,9220.0,18.1
IFS,9209.038961038961,87.1
VTK,9184.469879518072,9.4
CBS,9175.609756097561,5.3
MVB,9108.75,105.0
SRC,9084.285714285714,28.1
BHN,9074.683544303798,231.8
BTN,9037.5,4.4
VSI,8985.507246376812,13.2
PIC,8883.675,33.3
TSD,8880.0,1.3
TT6,8845.903614457831,22.8
HNP,8800.0,5.0
QPH,8726.626506024097,18.6
SLS,8678.216867469879,9.8
AAM,8644.578313253012,10.5
QNC,8614.473684210527,59.9
DRG,8597.368421052632,155.8
GLT,8581.944444444445,9.3
CMT,8535.802469135802,7.3
TV4,8523.58024691358,19.8
MTL,8483.076923076924,6.0
SCD,8473.333333333334,8.5
NET,8403.573170731708,22.4
VHD,8403.174603174602,38.0
NCS,8342.1875,17.9
TUG,8318.897435897436,5.4
PSL,8293.23076923077,11.8
HJC,8237.931034482759,12.9
ILS,7964.814814814815,36.0
PCT,7937.5,50.0
HU1,7923.333333333333,10.0
LAF,7902.5641025641025,15.2
LPT,7832.822784810127,12.0
SHP,7745.926829268293,101.2
HDM,7744.1558441558445,20.1
BWS,7740.277777777777,100.0
PTI,7723.529411764706,120.6
SNZ,7701.456790123457,376.5
TVM,7700.0,2.4
VSM,7671.830985915493,5.0
HPT,7639.086419753086,11.4
BDG,7450.735294117647,24.8
SLD,7448.387096774193,78.6
VNC,7319.5609756097565,21.0
BHC,7318.181818181818,4.5
UIC,7287.5,8.3
TTL,7252.380952380952,41.9
V21,7233.846153846154,12.0
TMB,7206.25,15.0
HAC,7201.515151515152,29.2
VTE,7128.0,15.6
CDP,7090.0,18.2
SB1,7009.027027027027,10.5
CLH,6993.90243902439,12.0
RTB,6987.5,87.9
SD2,6955.813953488372,14.4
ILB,6920.698795180723,38.2
L61,6892.307692307692,7.6
DMS,6890.909090909091,4.0
FDC,6888.888888888889,38.6
ND2,6811.1325301204815,50.0
KSD,6778.846153846154,12.0
SHE,6778.025316455696,15.0
BSL,6748.936170212766,45.0
MTG,6711.428571428572,10.5
VIF,6704.317073170731,350.0
DDN,6692.105263157895,16.1
MVN,6683.950617283951,1200.6
EFI,6614.814814814815,10.9
VSG,6508.333333333333,11.0
M10,6456.819277108434,31.8
BSA,6394.280487804878,66.9
SZE,6339.2,30.0
VIW,6329.545454545455,58.0
PRC,6293.481927710844,3.1
DTT,6251.071428571428,8.2
PTS,6246.428571428572,5.6
VIH,6242.105263157895,5.6
NDT,6230.555555555556,15.6
HNA,6218.283950617284,235.2
MAC,6131.944444444444,22.7
HGM,6129.024096385542,12.6
NBE,6095.890410958904,5.0
L45,6023.529411764706,4.8
DRL,6003.3975903614455,9.5
NST,6000.364864864865,11.2
SDY,5976.923076923077,4.5
HAV,5967.241379310345,3.3
PHH,5881.818181818182,18.1
SBL,5868.8421052631575,12.0
DSH,5846.756097560976,35.0
HMS,5845.085365853659,10.9
BSQ,5836.0,45.0
VCX,5757.777777777777,26.5
NVT,5696.0526315789475,90.5
QTC,5689.191780821918,2.7
MKP,5674.242424242424,25.3
ISH,5603.051948051948,45.0
VE8,5593.333333333333,1.8
SGI,5589.6551724137935,75.5
HAN,5451.25,141.0
VWS,5400.0,3.6
KHD,5368.5875,3.3
SAC,5355.0,4.0
BHP,5334.6557377049185,9.2
DNW,5331.578947368421,120.0
SMA,5319.642857142857,20.4
PIT,5294.93670886076,14.2
C21,5250.0,18.1
DDM,5231.25,12.2
BSP,5195.918367346939,12.5
SBV,5185.915492957746,27.3
VIN,5181.818181818182,25.5
HMH,5150.0,13.2
S12,5130.0,5.0
CPI,5123.529411764706,36.5
MBT,5118.421052631579,3.8
ABR,5072.621951219512,20.0
GMH,5060.810810810811,16.5
CAG,5010.126582278481,13.8
QCC,5000.0,1.3
BCF,4991.946428571428,38.0
SFG,4974.666666666667,47.9
ACE,4928.06329113924,3.1
X20,4921.473684210527,17.3
EID,4880.487804878048,15.0
MTS,4875.675675675676,15.0
VSN,4861.592592592592,80.9
VNI,4839.506172839506,10.4
CLC,4815.463768115942,26.2
TVT,4804.0,21.0
AGF,4793.75,28.1
MDF,4761.363636363636,55.1
SEA,4755.820512820513,125.0
POT,4746.4625,19.4
E12,4720.0,1.2
VAF,4718.840579710145,37.7
SD4,4712.5,10.3
LLM,4687.194805194805,79.7
CKD,4670.7037037037035,31.0
SID,4631.594202898551,100.0
DMN,4621.568627450981,12.5
HD2,4598.630136986301,9.0
VFC,4594.736842105263,33.8
WSB,4557.142857142857,14.5
BBT,4554.7625,19.6
BTU,4524.546875,3.6
TBC,4520.0,63.5
CBI,4507.692307692308,43.0
TSB,4459.493670886076,6.7
